,Unnamed: 0,Unnamed: 0.1,bbox_id,air_quality,area,closest_shop,cloud_cover,humidity,shops_amount,temperature,inappropriate_type,flat_roof,gabled_roof,round_roof
146,146,146,Kyiv2,67,132.456329360023,132,0.54,0.74,2.0,8.66,0,0,0,0
147,147,147,Kyiv2,67,226.978050049793,137,0.54,0.74,3.0,8.66,0,0,0,0
148,148,148,Kyiv2,67,4738.41315178609,504,0.54,0.74,0.0,8.66,0,0,0,0
149,149,149,Kyiv2,73,23.1983427902607,420,0.54,0.75,3.0,8.64,0,0,1,0
150,150,150,Kyiv2,67,4415.76998119089,461,0.54,0.74,1.0,8.66,0,0,0,0
151,151,151,Kyiv2,67,454.941571905402,68,0.54,0.74,3.0,8.66,0,0,0,0
152,152,152,Kyiv2,67,4401.8508986783,215,0.54,0.74,3.0,8.66,0,0,1,0
153,153,153,Kyiv2,67,500.992942916987,271,0.54,0.74,2.0,8.66,0,0,0,0
154,154,154,Kyiv2,73,52.689049383361215,200,0.54,0.75,2.0,8.64,0,1,0,0
155,155,155,Kyiv2,73,854.262656968138,198,0.54,0.75,2.0,8.64,0,1,0,0
156,156,156,Kyiv2,67,523.284438247503,280,0.54,0.74,2.0,8.66,0,0,0,0
157,157,157,Kyiv2,67,2312.96249210456,303,0.54,0.74,2.0,8.66,0,0,0,0
158,158,158,Kyiv2,67,1639.04992597424,360,0.54,0.74,2.0,8.66,0,0,0,1
159,159,159,Kyiv2,73,761.706249125239,304,0.54,0.75,2.0,8.64,0,0,0,0
160,160,160,Kyiv2,73,1485.32801187706,531,0.54,0.75,0.0,8.64,0,0,0,0
161,161,161,Kyiv2,67,639.424949295093,348,0.54,0.74,2.0,8.66,0,1,0,0
162,162,162,Kyiv2,73,100.6049685418,447,0.54,0.75,2.0,8.64,0,0,0,0
163,163,163,Kyiv2,73,756.4298920746892,34,0.54,0.75,3.0,8.64,0,0,0,0
164,164,164,Kyiv2,73,253.532046690513,62,0.54,0.75,2.0,8.64,0,0,0,0
165,165,165,Kyiv2,67,169.410432027197,273,0.54,0.74,3.0,8.66,0,0,0,0
166,166,166,Kyiv2,67,1379.9832465642498,379,0.54,0.74,1.0,8.66,0,0,0,0
