,air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,roof_tupe
6230,81,227.403896401787,NY3,23,0.57,0.71,13,,
6231,81,161.1347091037,NY3,99,0.57,0.71,23,,
6232,81,157.337018196151,NY3,19,0.57,0.71,30,,
6233,81,112.760432965122,NY3,148,0.57,0.71,18,,
6234,81,2388.0277321925,NY3,129,0.57,0.71,25,,
6235,81,2357.87732470066,NY3,86,0.57,0.71,11,,
6236,81,175.687886151097,NY3,44,0.57,0.71,24,,
6237,81,622.176696697336,NY3,57,0.57,0.71,32,,
6238,81,1222.31092908925,NY3,134,0.57,0.71,30,,
6239,81,177.335658362866,NY3,53,0.57,0.71,30,,
6240,81,199.293138853755,NY3,14,0.57,0.71,32,,
6241,81,1900.50400160507,NY3,117,0.57,0.71,24,,
6242,81,68.1123442639254,NY3,62,0.57,0.71,27,,flat
6243,81,620.005602481211,NY3,9,0.57,0.71,32,,
6244,81,276.217606565309,NY3,70,0.57,0.71,26,,
6245,81,192.932946488938,NY3,18,0.57,0.71,32,,
6246,81,1432.45435575931,NY3,57,0.57,0.71,28,,flat
6247,81,113.540885849968,NY3,23,0.57,0.71,29,,
6248,81,868.02390416299,NY3,77,0.57,0.71,10,,inappropriate
6249,81,275.776889498765,NY3,37,0.57,0.71,32,,
6250,81,250.74582191832,NY3,36,0.57,0.71,29,,
6251,81,1208.67894934943,NY3,95,0.57,0.71,25,,inappropriate
6252,81,198.171522100501,NY3,66,0.57,0.71,21,,
6253,81,481.779183571821,NY3,113,0.57,0.71,25,,
6254,81,1088.31720091612,NY3,96,0.57,0.71,24,,gabled
6255,81,203.330840144772,NY3,63,0.57,0.71,22,,
6256,81,280.259193556977,NY3,8,0.57,0.71,28,,
6257,81,194.859020821359,NY3,54,0.57,0.71,32,,
6258,81,371.931760228729,NY3,52,0.57,0.71,25,,
6259,81,302.662035202537,NY3,20,0.57,0.71,30,,
6260,81,911.015967384394,NY3,97,0.57,0.71,27,,
6261,81,46.3019080558527,NY3,19,0.57,0.71,28,,
6262,81,118.565047857421,NY3,144,0.57,0.71,24,,
6263,81,243.645457262198,NY3,50,0.57,0.71,28,,
6264,81,405.864502408359,NY3,34,0.57,0.71,10,,
6265,81,180.284267347819,NY3,14,0.57,0.71,22,,flat
6266,81,242.272865840664,NY3,30,0.57,0.71,29,,
6267,81,1672.08589745121,NY3,100,0.57,0.71,27,,
6268,81,168.617986306869,NY3,29,0.57,0.71,29,,
6269,81,204.535477875258,NY3,23,0.57,0.71,27,,
6270,81,1548.42293453734,NY3,85,0.57,0.71,24,,
6271,81,1541.89805640305,NY3,108,0.57,0.71,18,,
6272,81,872.918676202324,NY3,21,0.57,0.71,32,,
6273,81,1065.87295512891,NY3,154,0.57,0.71,24,,gabled
6274,81,2088.51199693451,NY3,59,0.57,0.71,24,,
6275,81,1580.60556465147,NY3,40,0.57,0.71,27,,gabled
6276,81,862.626912093572,NY3,116,0.57,0.71,29,,
6277,81,1352.5066225573,NY3,64,0.57,0.71,28,,gabled
