air_quality,area,bbox_id,closest_shop,cloud_cover,humidity,shops_amount,temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,83.2393043246735,Berlin1,1436,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,92.1170342286053,Berlin1,1084,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,124.272016302452,Berlin1,839,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,18.081438564279,Berlin1,192,0.61,0.7,3,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,65.6063788662396,Berlin1,1537,0.61,0.7,0,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,384.273913258319,Berlin2,154,0.61,0.7,14,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,328.227624664491,Berlin2,109,0.61,0.7,35,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,431.665444329971,Berlin2,169,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,120.181446719888,Berlin2,85,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,360.4782502656,Berlin2,8,0.61,0.7,28,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,51.4300983968019,Berlin2,209,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,435.309407485966,Berlin2,20,0.61,0.7,30,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,71.7709007272765,Berlin2,132,0.61,0.7,24,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,136.763584556083,Berlin2,312,0.61,0.7,1,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,173.717898819743,Berlin2,235,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,22.2262038828286,Berlin2,373,0.61,0.7,3,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,409.529112317763,Berlin2,165,0.61,0.7,7,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,328.686555710411,Berlin2,133,0.61,0.7,34,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,127.600295857287,Berlin2,62,0.61,0.7,31,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,412.469630091272,Berlin2,138,0.61,0.7,11,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,216.218729614464,Berlin2,365,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,183.591311406388,Berlin2,391,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,305.696356633471,Berlin2,18,0.61,0.7,29,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,43.7940716608307,Berlin2,442,0.61,0.7,10,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,95.5158898137536,Berlin2,153,0.61,0.7,8,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,259.321705978425,Berlin2,235,0.61,0.7,1,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,89.1502200803076,Berlin2,251,0.61,0.7,11,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,510.616107510191,Berlin2,93,0.61,0.7,9,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,531.220140966996,Berlin2,109,0.61,0.7,10,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,761.839389290494,Berlin2,35,0.61,0.7,8,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,232.143459549736,Berlin2,302,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,903.814757724195,Berlin2,56,0.61,0.7,19,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,155.645648574356,Berlin2,210,0.61,0.7,1,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,163.217659725779,Berlin2,155,0.61,0.7,5,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,126.7860592461,Berlin2,97,0.61,0.7,9,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,240.844790229541,Berlin2,67,0.61,0.7,32,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,197.419377596454,Berlin2,282,0.61,0.7,20,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,91.6366040224292,Berlin2,129,0.61,0.7,29,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,416.523440148773,Berlin2,46,0.61,0.7,5,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,751.884030720288,Berlin2,411,0.61,0.7,3,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,87.0122937914575,Berlin2,128,0.61,0.7,30,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,201.546847296121,Berlin2,240,0.61,0.7,27,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,138.653413767667,Berlin2,132,0.61,0.7,17,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,311.943328710841,Berlin2,304,0.61,0.7,20,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,288.587453662266,Berlin2,77,0.61,0.7,6,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,770.819725911435,Berlin2,169,0.61,0.7,20,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,72.2466448241213,Berlin2,99,0.61,0.7,14,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1311.02097615212,Berlin2,80,0.61,0.7,5,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,535.842438059465,Berlin2,133,0.61,0.7,27,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,545.666197868043,Berlin2,114,0.61,0.7,22,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,179.579441179707,Berlin2,111,0.61,0.7,21,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,17.1446860221582,Berlin2,237,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,185.432767255286,Berlin2,272,0.61,0.7,20,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,107.698569052704,Berlin2,327,0.61,0.7,3,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1587.30529411675,Berlin2,401,0.61,0.7,4,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,193.582566308914,Berlin2,95,0.61,0.7,13,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,240.626866812237,Berlin2,69,0.61,0.7,34,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,312.286913370354,Berlin2,67,0.61,0.7,30,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,62.295864577938,Berlin2,72,0.61,0.7,6,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,516.18418641269,Berlin2,22,0.61,0.7,22,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,750.958422370197,Berlin2,76,0.61,0.7,15,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,527.722273506776,Berlin2,119,0.61,0.7,33,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,148.625166331585,Berlin2,88,0.61,0.7,9,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,488.504339541406,Berlin2,131,0.61,0.7,10,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,222.571665088903,Berlin2,541,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,474.243443882839,Berlin2,374,0.61,0.7,10,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,86.3144279120302,Berlin2,362,0.61,0.7,1,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20.5658686149317,Berlin2,375,0.61,0.7,1,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,864.440942347427,Berlin2,214,0.61,0.7,19,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,197.88076883152,Berlin2,78,0.61,0.7,13,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,767.42902363219,Berlin2,311,0.61,0.7,6,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,42.5843236537455,Berlin2,485,0.61,0.7,2,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,579.453753480758,Berlin2,60,0.61,0.7,22,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,310.084199603938,Berlin2,142,0.61,0.7,17,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,497.570789239595,Berlin2,136,0.61,0.7,17,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,11.0002692838623,Berlin2,244,0.61,0.7,4,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,199.745690243852,Berlin2,62,0.61,0.7,6,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,220.829768085726,Berlin2,177,0.61,0.7,9,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,306.661563786531,Berlin2,510,0.61,0.7,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,24.8137427047469,Berlin2,299,0.61,0.7,1,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,388.239962944685,Berlin2,119,0.61,0.7,9,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1114.32959687217,Berlin2,172,0.61,0.7,23,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,154.568464805025,Berlin2,57,0.61,0.7,15,11.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,109.978023610156,Berlin2,56,0.61,0.7,34,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
