,_id,addr:housenumber,addr:street,air_quality,amenity,area,bbox_id,building,building_centroid,closest_shop,cloud_cover,description,geometry,height,humidity,name,request_area_bottom_left,request_area_top_right,shops_amount,shops_count,temperature
331,{'$oid': '5bd44a65c6b61430207da219'},,,80,,241.80308841097954,NY1,,"{'type': 'Point', 'coordinates': [-74.01025180153385, 40.70656143068473]}",67,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.010206, 40.7066792], [-74.0103425, 40.706551], [-74.0103657, 40.7065155], [-74.010302, 40.7064931], [-74.0104133, 40.7064097], [-74.0103833, 40.7063975], [-74.0103624, 40.7064158], [-74.0103216, 40.7064516], [-74.0102477, 40.7065164], [-74.0102346, 40.7065077], [-74.0101108, 40.706616], [-74.010206, 40.7066792]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",145.0,,12.32
1,{'$oid': '5bd44a65c6b61430207da0cf'},175,Water Street,80,,1755.0015429428092,NY1,,"{'type': 'Point', 'coordinates': [-74.00515135728554, 40.70636666958936]}",33,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0050489, 40.7066539], [-74.0054154, 40.7063986], [-74.0053835, 40.7063721], [-74.0053903, 40.7063669], [-74.0054021, 40.7063555], [-74.0054114, 40.7063427], [-74.0054181, 40.7063291], [-74.0054219, 40.7063148], [-74.0054227, 40.7063076], [-74.0054221, 40.706293], [-74.0054207, 40.7062858], [-74.0054158, 40.7062717], [-74.0054081, 40.7062584], [-74.0054, 40.7062494], [-74.0054325, 40.7062273], [-74.005254, 40.7060792], [-74.004892, 40.7063315], [-74.0049211, 40.7063551], [-74.0049078, 40.7063672], [-74.0048983, 40.7063773], [-74.0048905, 40.7063905], [-74.0048835, 40.7064032], [-74.0048811, 40.7064099], [-74.0048784, 40.7064235], [-74.0048786, 40.7064372], [-74.0048798, 40.7064441], [-74.0048844, 40.7064574], [-74.0048918, 40.70647], [-74.0049018, 40.7064814], [-74.0048689, 40.7065044], [-74.0050489, 40.7066539]]]}",15.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",85.0,,12.32
150,{'$oid': '5bd44a65c6b61430207da164'},73,Warren Street,73,restaurant,166.17527059850107,NY1,,"{'type': 'Point', 'coordinates': [-74.01020934573019, 40.71498278590514]}",71,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0102313, 40.7148839], [-74.0103127, 40.7149205], [-74.0101874, 40.7150817], [-74.010106, 40.715045], [-74.0102313, 40.7148839]]]}",0.0,0.71,Mulberry & Vine,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",38.0,,12.3
550,{'$oid': '5bd44a65c6b61430207da2f4'},12,Warren Street,73,,414.4485321353833,NY1,,"{'type': 'Point', 'coordinates': [-74.00741609917634, 40.71415943369103]}",62,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0074229, 40.7140189], [-74.0075766, 40.7140897], [-74.0074093, 40.7143], [-74.0072556, 40.7142291], [-74.0074229, 40.7140189]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",47.0,,12.3
362,{'$oid': '5bd44a65c6b61430207da238'},40,Broad Street,80,,1247.7920557066248,NY1,commercial,"{'type': 'Point', 'coordinates': [-74.01175564347412, 40.70602496061316]}",16,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0115447, 40.7058484], [-74.0115864, 40.7058552], [-74.0116183, 40.7058605], [-74.0117166, 40.7058766], [-74.0119661, 40.7059174], [-74.0120393, 40.7059294], [-74.0118855, 40.706243], [-74.0118798, 40.7062406], [-74.0118179, 40.7062143], [-74.0115669, 40.7061076], [-74.0115429, 40.7060972], [-74.0115375, 40.7060948], [-74.0115158, 40.7060854], [-74.0114916, 40.7060748], [-74.0115447, 40.7058484]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",98.0,,12.32
77,{'$oid': '5bd44a65c6b61430207da11b'},114,Chambers Street,73,,171.69774991661387,NY1,,"{'type': 'Point', 'coordinates': [-74.00848171223369, 40.71494906417358]}",40,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0085152, 40.7148421], [-74.00859, 40.7148763], [-74.0084483, 40.715056], [-74.0083734, 40.7150218], [-74.0085152, 40.7148421]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",39.0,,12.3
559,{'$oid': '5bd44a65c6b61430207da2fd'},20,Warren Street,73,,226.0675622072393,NY1,,"{'type': 'Point', 'coordinates': [-74.00768024757794, 40.71430270351333]}",49,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0075476, 40.7144068], [-74.00774, 40.714165], [-74.0078129, 40.7141986], [-74.0076205, 40.7144404], [-74.0076133, 40.7144371], [-74.0075476, 40.7144068]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",48.0,,12.3
48,{'$oid': '5bd44a65c6b61430207da0fe'},,,73,,221.92173425877579,NY1,,"{'type': 'Point', 'coordinates': [-74.00533703808806, 40.7158201547453]}",30,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0055135, 40.7158619], [-74.0054693, 40.7159184], [-74.0051606, 40.7157785], [-74.0052048, 40.7157219], [-74.0054693, 40.7158418], [-74.0055135, 40.7158619]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",24.0,,12.3
355,{'$oid': '5bd44a65c6b61430207da231'},,,80,,1187.213191694518,NY1,office,"{'type': 'Point', 'coordinates': [-74.00923550637575, 40.70506924801054]}",42,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0094914, 40.7051774], [-74.0090682, 40.705248], [-74.009062, 40.7052278], [-74.008983, 40.7049706], [-74.0093882, 40.7048805], [-74.009391, 40.7048885], [-74.0094026, 40.7049219], [-74.0094271, 40.7049923], [-74.0094516, 40.705063], [-74.0094801, 40.7051449], [-74.0094914, 40.7051774]]]}",15.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",109.0,,12.32
534,{'$oid': '5bd44a65c6b61430207da2e4'},,,80,,230.07240797874516,NY1,,"{'type': 'Point', 'coordinates': [-74.00486094114198, 40.708163884812144]}",7,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.004855, 40.7082178], [-74.0047704, 40.7080257], [-74.0048372, 40.7080006], [-74.0048619, 40.7080566], [-74.0049553, 40.7082685], [-74.0048604, 40.7083055], [-74.0048028, 40.7082348], [-74.004855, 40.7082178]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",89.0,,12.32
195,{'$oid': '5bd44a65c6b61430207da191'},222,Broadway,73,,2895.979319678862,NY1,,"{'type': 'Point', 'coordinates': [-74.00839759824952, 40.71086170229314]}",34,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0081798, 40.7105344], [-74.0085761, 40.7107355], [-74.0088856, 40.7108925], [-74.0086667, 40.7111423], [-74.0086326, 40.711125], [-74.0085902, 40.7111755], [-74.0085212, 40.7111396], [-74.0085078, 40.7111545], [-74.0082875, 40.7110408], [-74.0083009, 40.7110259], [-74.0082417, 40.7109951], [-74.0079066, 40.7108115], [-74.0079271, 40.7107903], [-74.007966, 40.71075], [-74.0080743, 40.7106408], [-74.0080885, 40.7106265], [-74.0081022, 40.7106127], [-74.0081202, 40.7105945], [-74.0081435, 40.710571], [-74.0081601, 40.7105543], [-74.0081798, 40.7105344]]]}",15.0,0.71,222 Broadway,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",90.0,,12.3
409,{'$oid': '5bd44a65c6b61430207da267'},84,William Street,80,,617.5785582356361,NY1,,"{'type': 'Point', 'coordinates': [-74.00772295212109, 40.70798356125638]}",17,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0075307, 40.7079066], [-74.0076696, 40.7079968], [-74.0076898, 40.7079438], [-74.0076545, 40.7078979], [-74.0076674, 40.7078876], [-74.0077692, 40.7078062], [-74.007899, 40.7079772], [-74.0079008, 40.7079819], [-74.0079017, 40.7079917], [-74.007899, 40.7080013], [-74.007893, 40.70801], [-74.0077558, 40.7081474], [-74.007474, 40.7079643], [-74.0075307, 40.7079066]]]}",0.0,0.71,AKA Wall Street,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",146.0,,12.32
413,{'$oid': '5bd44a65c6b61430207da26b'},,,80,,350.8097663030381,NY1,,"{'type': 'Point', 'coordinates': [-74.00710868378786, 40.70788577284549]}",18,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0072033, 40.7080013], [-74.0071244, 40.7079727], [-74.007135, 40.7079605], [-74.0070593, 40.7079319], [-74.0070697, 40.70792], [-74.0069945, 40.707891], [-74.007003, 40.7078814], [-74.0069378, 40.7078563], [-74.0069429, 40.7078505], [-74.0069057, 40.7078351], [-74.0069485, 40.7077726], [-74.0072094, 40.7078736], [-74.0072234, 40.7078517], [-74.0073004, 40.7078909], [-74.0072033, 40.7080013]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",136.0,,12.32
74,{'$oid': '5bd44a65c6b61430207da118'},111,Chambers Street,73,,168.10622382612485,NY1,,"{'type': 'Point', 'coordinates': [-74.00815284999997, 40.715235050000004]}",65,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.008181, 40.7151329], [-74.0082588, 40.7151688], [-74.0081247, 40.7153372], [-74.0080469, 40.7153013], [-74.008181, 40.7151329]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",38.0,,12.3
360,{'$oid': '5bd44a65c6b61430207da236'},41,Broad Street,80,,898.2622058034698,NY1,,"{'type': 'Point', 'coordinates': [-74.01110059789939, 40.70575340510061]}",54,0.58,,"{'type': 'Polygon', 'coordinates': [[[-74.0108413, 40.7056213], [-74.0113082, 40.7056292], [-74.0113013, 40.7056716], [-74.0112897, 40.705713], [-74.0112788, 40.7057553], [-74.0112696, 40.7057861], [-74.0112599, 40.7058181], [-74.0112455, 40.7058568], [-74.0112312, 40.7058953], [-74.0112218, 40.7059183], [-74.0110195, 40.7058889], [-74.0109557, 40.7058796], [-74.0109576, 40.7058442], [-74.0109202, 40.7058395], [-74.0109238, 40.7057097], [-74.0109257, 40.7056429], [-74.0108454, 40.7056415], [-74.0108413, 40.7056213]]]}",46.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",113.0,,12.32
106,{'$oid': '5bd44a65c6b61430207da138'},126,Chambers Street,73,bar,145.6073299757457,NY1,,"{'type': 'Point', 'coordinates': [-74.00893411403058, 40.71517576146844]}",51,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0089554, 40.7150833], [-74.0090313, 40.715118], [-74.0089129, 40.7152682], [-74.0088369, 40.7152335], [-74.0089554, 40.7150833]]]}",0.0,0.71,Mudville 9,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",39.0,,12.3
175,{'$oid': '5bd44a65c6b61430207da17d'},21,Park Place,73,,188.50726681089867,NY1,,"{'type': 'Point', 'coordinates': [-74.00861495000001, 40.71323035]}",53,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0086478, 40.7131196], [-74.0087277, 40.713156], [-74.0085821, 40.7133411], [-74.0085022, 40.7133047], [-74.0086478, 40.7131196]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",61.0,,12.3
199,{'$oid': '5bd44a65c6b61430207da195'},,,73,,379.7135378609137,NY1,,"{'type': 'Point', 'coordinates': [-74.00839366164907, 40.71324802708411]}",30,0.57,,"{'type': 'Polygon', 'coordinates': [[[-74.0084936, 40.7130494], [-74.0085765, 40.7130872], [-74.0082936, 40.7134467], [-74.0082108, 40.713409], [-74.0084936, 40.7130494]]]}",0.0,0.71,,"{'type': 'Point', 'coordinates': [-74.015751, 40.704327]}","{'type': 'Point', 'coordinates': [-74.004765, 40.716168]}",59.0,,12.3
